iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,0,cc83be85db391e9396e1427b3e124968,48.108482837677
1,1,20,0,cc83be85db391e9396e1427b3e124968,48.52727150917053
2,1,20,0,cc83be85db391e9396e1427b3e124968,49.42562127113342
3,1,20,0,cc83be85db391e9396e1427b3e124968,48.106443881988525
4,1,20,0,cc83be85db391e9396e1427b3e124968,47.66466188430786
0,2,20,0,cc83be85db391e9396e1427b3e124968,57.58661723136902
1,2,20,0,cc83be85db391e9396e1427b3e124968,53.71454572677612
2,2,20,0,cc83be85db391e9396e1427b3e124968,52.10355234146118
3,2,20,0,cc83be85db391e9396e1427b3e124968,54.01487159729004
4,2,20,0,cc83be85db391e9396e1427b3e124968,52.43384766578674
0,3,20,0,cc83be85db391e9396e1427b3e124968,58.694544553756714
1,3,20,0,cc83be85db391e9396e1427b3e124968,60.367366790771484
2,3,20,0,cc83be85db391e9396e1427b3e124968,60.81801748275757
3,3,20,0,cc83be85db391e9396e1427b3e124968,66.26212191581726
4,3,20,0,cc83be85db391e9396e1427b3e124968,61.14173984527588
0,4,20,0,cc83be85db391e9396e1427b3e124968,69.72817611694336
1,4,20,0,cc83be85db391e9396e1427b3e124968,65.85428261756897
2,4,20,0,cc83be85db391e9396e1427b3e124968,70.13524913787842
3,4,20,0,cc83be85db391e9396e1427b3e124968,72.64609408378601
4,4,20,0,cc83be85db391e9396e1427b3e124968,67.78164935112
0,5,20,0,cc83be85db391e9396e1427b3e124968,79.09621620178223
1,5,20,0,cc83be85db391e9396e1427b3e124968,90.89233446121216
2,5,20,0,cc83be85db391e9396e1427b3e124968,88.83406925201416
3,5,20,0,cc83be85db391e9396e1427b3e124968,79.45734405517578
4,5,20,0,cc83be85db391e9396e1427b3e124968,82.09411835670471
